Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,8.19,8.4,7.85,8,8,13885
2019-09-17,8.24,8.24,7.1,7.4,7.4,7959
2019-09-18,8,8,6.9,7.03,7.03,16064
2019-09-19,6.85,7.19,6.37,6.51,6.51,8876
2019-09-20,6.55,7.4,6.5,7.02,7.02,11740
2019-09-23,7.5,7.74,6.9,7.09,7.09,16093
2019-09-24,7.39,7.44,6.8,7.26,7.26,4267
2019-09-25,6.81,7.19,6.81,7,7,1282
2019-09-26,7.35,7.35,6,6.66,6.66,12922
2019-09-27,6.73,6.73,6.37,6.45,6.45,12141
2019-09-30,6.15,6.69,6.1,6.21,6.21,3615
2019-10-01,6.65,6.65,6.03,6.13,6.13,6264
2019-10-03,6.46,6.49,6.15,6.16,6.16,7479
2019-10-04,6.49,6.49,6.25,6.28,6.28,4380
2019-10-07,6.28,6.65,6.05,6.44,6.44,16931
2019-10-09,6.5,6.7,6.25,6.47,6.47,9459
2019-10-10,6.31,6.74,6.31,6.69,6.69,16571
2019-10-11,6.89,6.89,6.35,6.53,6.53,3612
2019-10-14,6.53,6.53,6.2,6.45,6.45,2895
2019-10-15,6.2,6.3,6,6.07,6.07,22547
2019-10-16,6.29,6.35,6.04,6.21,6.21,2667
2019-10-17,6.1,6.95,6.1,6.7,6.7,21232
2019-10-18,7,7,6.25,6.54,6.54,14169
2019-10-22,6.6,6.75,6.15,6.34,6.34,17557
2019-10-23,6.75,6.95,6.12,6.32,6.32,15853
2019-10-24,6.64,6.75,6.3,6.65,6.65,7915
2019-10-25,6.68,6.9,6.28,6.5,6.5,18935
2019-10-29,6.7,6.94,6.4,6.65,6.65,13957
2019-10-30,6.8,7,6.45,6.45,6.45,36579
2019-10-31,6.5,6.5,6.31,6.38,6.38,18585
2019-11-01,6.33,6.89,6.33,6.84,6.84,3905
2019-11-04,7,7.25,6.6,7.09,7.09,26346
2019-11-05,7.25,8.35,7.25,7.71,7.71,92385
2019-11-06,7.7,8.49,7.7,8.21,8.21,48855
2019-11-07,8.47,8.78,8.04,8.14,8.14,28634
2019-11-08,8.1,8.4,7.8,7.87,7.87,9408
2019-11-11,8.5,8.5,7.9,7.96,7.96,12665
2019-11-13,8.38,8.38,7.85,7.94,7.94,15256
2019-11-14,7.8,8.09,7.45,7.65,7.65,4513
2019-11-15,7.99,7.99,7.42,7.67,7.67,4761
2019-11-18,7.5,7.8,7.15,7.24,7.24,12593
2019-11-19,7.64,7.64,7,7.11,7.11,19408
2019-11-20,7.4,8.53,7.35,8.48,8.48,96050
2019-11-21,8.35,8.98,7.98,7.99,7.99,47453
2019-11-22,8,8.25,7.61,7.93,7.93,6940
2019-11-25,8.35,8.35,7.59,7.9,7.9,4929
2019-11-26,8.1,8.75,7.6,8.13,8.13,47971
2019-11-27,8.39,8.39,7.82,8.03,8.03,20646
2019-11-28,7.9,8.25,7.85,7.86,7.86,5902
2019-11-29,7.7,8.1,6.9,8,8,23068
2019-12-02,8.33,8.45,7.8,8.09,8.09,15762
2019-12-03,7.9,8.3,7.8,7.85,7.85,12792
2019-12-04,8.14,8.14,7.65,7.7,7.7,10957
2019-12-05,7.72,8,7.41,7.76,7.76,12761
2019-12-06,8.1,8.1,7.32,7.71,7.71,10384
2019-12-09,7.51,7.98,7.1,7.19,7.19,16599
2019-12-10,7.35,7.35,7.06,7.1,7.1,7615
2019-12-11,7.5,7.94,7.15,7.42,7.42,41052
2019-12-12,7.7,8,7.4,7.46,7.46,44004
2019-12-13,7.4,7.85,7.28,7.57,7.57,15490
2019-12-16,7.6,7.6,7.28,7.32,7.32,10024
2019-12-17,7.75,7.9,7.5,7.69,7.69,13742
2019-12-18,7.9,7.99,7.55,7.84,7.84,9230
2019-12-19,7.75,7.88,7.44,7.47,7.47,6014
2019-12-20,7.89,8,7.32,7.8,7.8,20450
2019-12-23,7.9,7.9,7.48,7.6,7.6,1380
2019-12-24,7.8,7.8,7.45,7.72,7.72,903
2019-12-26,7.2,8,7.2,7.73,7.73,5251
2019-12-27,7.95,7.95,7.15,7.25,7.25,27187
2019-12-30,7.65,7.65,7.16,7.33,7.33,5502
2019-12-31,7.5,7.5,7.2,7.38,7.38,6591
2020-01-01,7.48,7.48,7.25,7.27,7.27,4179
2020-01-02,7.27,7.63,7.22,7.62,7.62,41893
2020-01-03,7.72,7.99,7.65,7.67,7.67,17270
2020-01-06,7.41,7.64,7.2,7.24,7.24,6380
2020-01-07,7.21,7.63,7.2,7.32,7.32,5404
2020-01-08,7.3,7.68,7.23,7.51,7.51,3004
2020-01-09,7.6,8.25,7.35,8.15,8.15,16142
2020-01-10,8.25,8.74,7.5,7.82,7.82,14871
2020-01-13,7.9,8.18,7.52,7.89,7.89,7810
2020-01-14,7.99,8.25,7.71,8,8,6325
2020-01-15,8.2,8.2,7.7,7.72,7.72,12402
2020-01-16,7.72,8.3,7.7,7.85,7.85,21916
2020-01-17,8.24,8.24,7.8,8.05,8.05,2409
2020-01-20,8,8.18,7.71,7.78,7.78,2828
2020-01-21,7.7,7.99,7.5,7.75,7.75,6103
2020-01-22,7.99,7.99,7.6,7.68,7.68,5231
2020-01-23,7.94,7.97,7.5,7.54,7.54,7453
2020-01-24,7.88,9.04,7.88,9.04,9.04,160712
2020-01-27,10.47,10.84,9.8,10.84,10.84,187468
2020-01-28,11.75,12.75,10.53,11.24,11.24,353938
2020-01-29,10.55,11.5,10.28,11.38,11.38,123524
2020-01-30,11.1,12.51,10.99,12.43,12.43,401407
2020-01-31,13.18,13.67,13.18,13.67,13.67,111455
2020-02-03,11.95,11.95,11.12,11.12,11.12,123305
2020-02-04,10.01,10.01,10.01,10.01,10.01,30693
2020-02-05,9.01,9.69,9.01,9.01,9.01,120232
2020-02-06,8.56,8.75,8.56,8.56,8.56,112275
2020-02-07,8.22,8.98,8.14,8.95,8.95,180070
2020-02-10,9.18,9.18,8.51,8.51,8.51,59935
2020-02-11,8.5,8.5,8.09,8.09,8.09,32025
2020-02-12,7.9,8.14,7.69,7.74,7.74,19945
2020-02-13,8.1,8.1,7.52,7.89,7.89,33077
2020-02-14,8.17,8.28,8.17,8.28,8.28,40519
2020-02-17,8.54,8.62,7.87,7.91,7.91,47227
2020-02-18,7.65,7.9,7.52,7.76,7.76,20089
2020-02-19,7.45,7.77,7.4,7.6,7.6,20353
2020-02-20,7.8,7.95,7.4,7.51,7.51,26643
2020-02-24,7.7,7.88,7.2,7.88,7.88,20107
2020-02-25,8.08,8.27,8.01,8.27,8.27,24056
2020-02-26,8.25,8.64,8.05,8.14,8.14,32683
2020-02-27,8.25,8.28,7.85,7.92,7.92,8213
2020-02-28,7.53,7.89,7.53,7.56,7.56,41746
2020-03-02,7.79,7.79,7.32,7.32,7.32,26008
2020-03-03,7.44,7.6,7.15,7.25,7.25,6159
2020-03-04,7.58,7.61,7.4,7.61,7.61,48838
2020-03-05,7.99,7.99,7.99,7.99,7.99,4796
2020-03-06,8.38,8.38,8.01,8.38,8.38,67548
2020-03-09,8.01,8.01,7.97,7.97,7.97,11593
2020-03-11,7.97,7.97,7.58,7.58,7.58,58928
2020-03-12,7.7,7.7,7.21,7.21,7.21,12147
2020-03-13,7.21,7.21,6.85,7.03,7.03,21005
2020-03-16,6.9,7.38,6.85,7.24,7.24,25082
2020-03-17,7.35,7.35,6.88,6.88,6.88,14451
2020-03-18,7.09,7.1,6.54,6.72,6.72,32984
2020-03-19,6.72,6.75,6.39,6.54,6.54,36213
2020-03-20,6.26,6.8,6.22,6.52,6.52,44733
2020-03-23,6.52,6.52,6.2,6.2,6.2,12745
2020-03-24,6.49,6.49,5.89,5.9,5.9,8456
2020-03-25,5.67,5.99,5.61,5.8,5.8,10312
2020-03-26,6,6.09,5.61,6.06,6.06,12468
2020-03-27,6.34,6.34,5.76,5.76,5.76,59731
2020-03-30,6,6,5.5,5.69,5.69,9308
2020-03-31,5.5,5.94,5.41,5.82,5.82,8564
2020-04-01,5.6,6.08,5.6,5.89,5.89,9321
2020-04-03,5.65,6.18,5.6,6.18,6.18,11477
2020-04-07,6.48,6.48,6.48,6.48,6.48,1178
2020-04-08,6.8,6.8,6.8,6.8,6.8,7159
2020-04-09,7.48,7.48,7.48,7.48,7.48,4270
2020-04-13,8.22,8.22,8.22,8.22,8.22,21846
2020-04-15,9.04,9.04,9.04,9.04,9.04,11439
2020-04-16,9.49,9.49,9.49,9.49,9.49,15677
2020-04-17,9.96,9.96,9.96,9.96,9.96,21809
2020-04-20,10.45,10.45,10.45,10.45,10.45,14208
2020-04-21,10.97,10.97,10.55,10.97,10.97,468705
2020-04-22,11.51,11.51,11.51,11.51,11.51,38158
2020-04-23,12.08,12.08,12.08,12.08,12.08,16546
2020-04-24,12.68,12.68,12.68,12.68,12.68,46669
2020-04-27,13.31,13.31,13.31,13.31,13.31,19503
2020-04-28,13.97,13.97,13.97,13.97,13.97,32008
2020-04-29,14.66,14.66,14.66,14.66,14.66,34959
2020-04-30,15.39,15.39,14.71,15.39,15.39,1169438
