Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,17.309999,17.320000,17.309999,17.320000,16.727215,2600
2019-09-17,17.950001,17.950001,17.570000,17.570000,16.968658,3400
2019-09-18,17.754999,18.000000,17.490000,17.780001,17.171473,12800
2019-09-19,17.754999,17.927999,17.540001,17.639999,17.036263,4800
2019-09-20,17.360001,17.440001,17.219999,17.219999,16.630636,3700
2019-09-23,17.320000,17.510000,17.153000,17.160000,16.572691,5400
2019-09-24,16.940001,16.940001,16.740000,16.740000,16.167065,2100
2019-09-25,16.605000,16.690001,16.350000,16.350000,15.790414,4800
2019-09-26,16.240000,16.400000,16.090000,16.090000,15.539312,20200
2019-09-27,15.765000,15.765000,15.510000,15.510000,14.979163,6300
2019-09-30,15.600000,15.730000,15.560000,15.560000,15.027452,2300
2019-10-01,15.705000,15.705000,15.510000,15.545000,15.012965,6700
2019-10-02,15.910000,15.950000,15.705000,15.860000,15.317183,274600
2019-10-03,16.030001,16.129999,16.000000,16.129999,15.577943,179100
2019-10-04,16.225000,16.270000,16.066999,16.205000,15.650376,6400
2019-10-07,16.160000,16.309999,16.000000,16.219999,15.664863,30000
2019-10-08,16.100000,16.100000,15.850000,16.000000,15.452393,47500
2019-10-09,16.280001,16.280001,16.100000,16.148001,15.595328,8800
2019-10-10,16.299999,16.506001,16.299999,16.378000,15.817455,13200
2019-10-11,16.378000,16.378000,16.378000,16.378000,15.817455,100
2019-10-14,16.440001,16.610001,16.260000,16.410000,15.848360,20200
2019-10-15,16.598000,16.709999,16.570000,16.709999,16.138092,2600
2019-10-16,16.600000,16.760000,16.430000,16.760000,16.186382,2400
2019-10-17,16.629999,16.770000,16.629999,16.700001,16.128435,15200
2019-10-18,16.698000,16.770000,16.698000,16.740000,16.167065,6100
2019-10-21,16.705000,16.719999,16.700001,16.709999,16.138092,22900
2019-10-22,16.770000,16.770000,16.690001,16.695000,16.123606,9100
2019-10-23,16.344999,16.455000,16.219999,16.455000,15.891820,20400
2019-10-24,16.379999,16.730000,16.379999,16.629999,16.060829,13900
2019-10-25,16.767000,16.930000,16.680000,16.930000,16.350563,11500
2019-10-28,17.330000,17.510000,17.330000,17.510000,16.910713,13300
2019-10-29,17.950001,17.950001,17.950001,17.950001,17.335653,1700
2019-10-30,17.700001,17.870001,17.639999,17.860001,17.248734,4500
2019-10-31,17.820000,17.920000,17.770000,17.830000,17.219759,6800
2019-11-01,17.489000,17.520000,17.370001,17.405001,16.809307,17500
2019-11-04,17.610001,17.820000,17.610001,17.719999,17.113523,11500
2019-11-05,17.590000,17.700001,17.590000,17.700001,17.094210,13000
2019-11-06,17.809999,17.820000,17.730000,17.730000,17.123182,8000
2019-11-07,18.070000,18.240000,18.070000,18.160000,17.538465,45000
2019-11-08,18.230000,18.230000,18.122999,18.129999,17.509491,5400
2019-11-11,17.530001,17.688000,17.530001,17.549999,16.949343,9700
2019-11-12,17.469999,17.497999,17.370001,17.370001,16.775505,2100
2019-11-13,17.313000,17.459999,17.299999,17.379999,16.785160,3700
2019-11-14,17.070000,17.139999,16.980000,17.139999,16.553375,4400
2019-11-15,17.170000,17.170000,16.908001,16.959999,16.379536,4800
2019-11-18,16.860001,16.910000,16.850000,16.879999,16.302273,6000
2019-11-19,17.270000,17.270000,16.980000,17.063000,16.479012,19500
2019-11-20,16.850000,17.073000,16.850000,16.980000,16.398851,10700
2019-11-21,17.000000,17.120001,16.959999,17.120001,16.534061,7100
2019-11-22,16.764999,16.900000,16.719999,16.900000,16.321589,3100
2019-11-25,16.660000,16.740000,16.559999,16.625000,16.056002,16100
2019-11-26,16.820000,16.820000,16.655001,16.693001,16.121675,10000
2019-11-27,16.639999,16.830000,16.639999,16.639999,16.070488,6600
2019-11-29,16.600000,16.600000,16.410000,16.480000,15.915964,12600
2019-12-02,16.517000,16.540001,16.299999,16.350000,15.790414,10100
2019-12-03,16.230000,16.549999,16.230000,16.327999,15.769166,21900
2019-12-04,16.635000,16.709999,16.510000,16.700001,16.128435,12200
2019-12-05,16.700001,16.850000,16.700001,16.809999,16.234669,50900
2019-12-06,16.795000,16.870001,16.770000,16.840000,16.263643,12600
2019-12-09,16.690001,16.820000,16.660000,16.760000,16.186382,58500
2019-12-10,16.738001,16.820000,16.719999,16.730000,16.157408,44700
2019-12-11,16.799999,16.950001,16.799999,16.900000,16.321589,25300
2019-12-12,17.080000,17.240000,17.040001,17.129999,16.543716,16600
2019-12-13,17.250000,17.250000,16.980000,17.020000,16.437483,13200
2019-12-16,17.200001,17.320000,17.200001,17.285000,16.693413,17600
2019-12-17,17.370001,17.459999,17.370001,17.459999,16.862423,9500
2019-12-18,17.420000,17.480000,17.400000,17.480000,16.881739,8400
2019-12-19,17.209999,17.590000,17.209999,17.576000,16.974453,11400
2019-12-20,17.740000,17.790001,17.670000,17.754999,17.147326,26600
2019-12-23,17.924000,17.959999,17.879999,17.959000,17.344345,10400
2019-12-24,17.940001,17.997000,17.940001,17.997000,17.381044,15100
2019-12-26,17.959999,18.090000,17.959999,18.059999,17.441887,19200
2019-12-27,18.120001,18.197001,18.120001,18.197001,17.574200,22600
2019-12-30,18.110001,18.209999,18.110001,18.145000,17.523979,9700
2019-12-31,18.129999,18.230000,18.129999,18.219999,17.596411,6100
2020-01-02,18.193001,18.240000,18.180000,18.233000,17.608967,15700
2020-01-03,18.218000,18.219999,18.100000,18.139999,17.519150,7800
